Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
Belize,BLZ,"Population, total",SP.POP.TOTL,91318.0,93632.0,96042.0,98704.0,101603.0,104675.0,107906.0,111272.0,114713.0,118040.0,120736.0,122805.0,124676.0,126445.0,128185.0,130387.0,133099.0,135887.0,138713.0,141678.0,145062.0,148786.0,152548.0,156297.0,160044.0,163796.0,167554.0,171338.0,175180.0,179107.0,183076.0,187040.0,190983.0,194902.0,199097.0,204146.0,210310.0,217446.0,225173.0,233059.0,240799.0,248379.0,256009.0,263780.0,271688.0,279731.0,287878.0,296100.0,304361.0,312614.0,320245.0,327298.0,334414.0,341627.0,348923.0,356333.0,364705.0,373202.0,380226.0,385829.0,390812.0,395346.0,402733.0,411106.0,
Bermuda,BMU,"Population, total",SP.POP.TOTL,42208.0,43123.0,44239.0,45340.0,46410.0,47461.0,48534.0,49514.0,50404.0,51306.0,52124.0,52607.0,52803.0,52946.0,53056.0,53129.0,53210.0,53322.0,53431.0,53517.0,53673.0,53997.0,54387.0,54777.0,55169.0,55547.0,55889.0,56265.0,56699.0,57129.0,57559.0,57984.0,58407.0,58816.0,59194.0,59526.0,59813.0,60177.0,60639.0,61124.0,61550.0,61867.0,62142.0,62386.0,62555.0,62711.0,62834.0,63010.0,63300.0,63565.0,63725.0,63733.0,63646.0,63574.0,63529.0,63464.0,63449.0,63578.0,63831.0,64107.0,64382.0,64648.0,64749.0,64698.0,
Bolivia,BOL,"Population, total",SP.POP.TOTL,3702323.0,3778731.0,3857493.0,3938913.0,4022996.0,4109796.0,4199550.0,4292572.0,4388944.0,4488232.0,4590010.0,4694342.0,4800978.0,4910200.0,5022475.0,5137539.0,5256496.0,5379166.0,5504123.0,5630849.0,5758900.0,5888109.0,6018088.0,6149060.0,6281868.0,6416185.0,6552479.0,6692162.0,6835508.0,6981766.0,7130142.0,7280289.0,7430336.0,7579195.0,7727322.0,7874676.0,8021736.0,8167900.0,8313394.0,8459806.0,8606326.0,8752736.0,8900355.0,9050700.0,9204287.0,9360754.0,9521689.0,9685960.0,9850858.0,10016275.0,10182345.0,10348929.0,10515807.0,10682608.0,10848888.0,11014705.0,11180020.0,11344587.0,11508368.0,11671386.0,11816299.0,11937360.0,12077154.0,12244159.0,
Brazil,BRA,"Population, total",SP.POP.TOTL,72388126.0,74605447.0,76865323.0,79164235.0,81488595.0,83817583.0,86139359.0,88446124.0,90741240.0,93045777.0,95375651.0,97739273.0,100146797.0,102600976.0,105089675.0,107619565.0,110213349.0,112875292.0,115600942.0,118380821.0,121207461.0,124063109.0,126923155.0,129790077.0,132658864.0,135515595.0,138336370.0,141104944.0,143826357.0,146502972.0,149143223.0,151724256.0,154275079.0,156794577.0,159265006.0,161735073.0,164202549.0,166661659.0,169159655.0,171641543.0,174018282.0,176301203.0,178503484.0,180622688.0,182675143.0,184688101.0,186653106.0,188552320.0,190367302.0,192079951.0,193701929.0,195284734.0,196876111.0,198478299.0,200085127.0,201675532.0,203218114.0,204703445.0,206107261.0,207455459.0,208660842.0,209550294.0,210306415.0,211140729.0,
Barbados,BRB,"Population, total",SP.POP.TOTL,230893.0,233148.0,235224.0,237557.0,239958.0,242417.0,244996.0,247091.0,248540.0,249444.0,249387.0,249168.0,249658.0,250322.0,250777.0,251175.0,251442.0,251626.0,251551.0,251269.0,251524.0,252270.0,253095.0,253992.0,254920.0,255820.0,256618.0,257279.0,257763.0,258109.0,258582.0,259373.0,260267.0,261027.0,261620.0,262039.0,262284.0,262392.0,262436.0,262517.0,262063.0,262425.0,264148.0,265776.0,267298.0,268706.0,270002.0,271288.0,272714.0,274123.0,275243.0,276139.0,276938.0,277665.0,278348.0,278990.0,279598.0,280171.0,280711.0,281207.0,281698.0,282147.0,282318.0,282336.0,
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,88347.0,92517.0,96719.0,101159.0,105922.0,110838.0,115874.0,121017.0,126222.0,131446.0,135138.0,137921.0,142189.0,147369.0,152656.0,158070.0,163607.0,169277.0,174884.0,180422.0,186111.0,191977.0,198165.0,204741.0,211661.0,218919.0,226495.0,233860.0,240913.0,248064.0,255292.0,262596.0,269839.0,276971.0,284091.0,291195.0,298276.0,305341.0,312385.0,319411.0,326424.0,333345.0,340099.0,346637.0,352911.0,358916.0,364663.0,370873.0,377793.0,384952.0,392332.0,399389.0,405557.0,411202.0,416750.0,422212.0,427564.0,432772.0,437810.0,442680.0,447404.0,451721.0,455370.0,458949.0,
Bhutan,BTN,"Population, total",SP.POP.TOTL,224084.0,230602.0,237636.0,245156.0,252987.0,261200.0,269820.0,278852.0,288311.0,298214.0,308528.0,319211.0,330264.0,341705.0,353538.0,365791.0,378490.0,391639.0,405243.0,419200.0,433404.0,447836.0,462485.0,477460.0,492784.0,508392.0,524324.0,540557.0,556986.0,573586.0,589287.0,599784.0,577774.0,554673.0,554497.0,547989.0,548784.0,558697.0,569435.0,582579.0,596863.0,610794.0,624409.0,637663.0,650544.0,661865.0,670799.0,678641.0,686351.0,693988.0,701632.0,709377.0,717279.0,725273.0,733139.0,740618.0,747866.0,754335.0,759759.0,764824.0,770006.0,775442.0,780914.0,786385.0,
Botswana,BWA,"Population, total",SP.POP.TOTL,516165.0,527942.0,540186.0,552966.0,566266.0,574664.0,577866.0,580933.0,583966.0,587066.0,590334.0,600481.0,622407.0,652408.0,685448.0,720380.0,758508.0,799574.0,849239.0,901742.0,937485.0,969996.0,1009269.0,1046137.0,1083660.0,1121945.0,1160650.0,1199167.0,1235476.0,1270274.0,1305696.0,1341756.0,1380033.0,1420115.0,1460023.0,1498836.0,1535914.0,1571691.0,1606899.0,1641997.0,1677382.0,1712254.0,1744763.0,1775736.0,1807146.0,1839877.0,1874516.0,1911201.0,1949970.0,1990673.0,2033111.0,2073535.0,2108617.0,2140682.0,2172044.0,2203273.0,2234776.0,2266747.0,2299141.0,2332083.0,2365894.0,2401441.0,2439892.0,2480244.0,
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1702346.0,1734580.0,1768115.0,1803063.0,1839583.0,1877854.0,1918082.0,1960444.0,2005100.0,2051515.0,2097505.0,2141450.0,2183769.0,2226008.0,2269338.0,2313916.0,2348566.0,2372930.0,2397961.0,2423794.0,2450535.0,2478402.0,2507375.0,2537399.0,2568610.0,2600932.0,2634258.0,2669155.0,2713965.0,2783970.0,2871910.0,2963191.0,3058831.0,3157839.0,3257954.0,3348052.0,3435965.0,3531700.0,3628827.0,3729450.0,3833416.0,3919487.0,4006077.0,4103086.0,4192826.0,4288810.0,4377579.0,4462770.0,4558984.0,4529047.0,4492995.0,4565021.0,4610848.0,4642419.0,4623182.0,4629320.0,4713663.0,4793511.0,4878657.0,4944703.0,5026628.0,5112100.0,5098039.0,5152421.0,
Canada,CAN,"Population, total",SP.POP.TOTL,17909356.0,18271000.0,18614000.0,18964000.0,19325000.0,19678000.0,20048000.0,20412000.0,20744000.0,21028000.0,21324000.0,21962032.0,22218463.0,22491777.0,22807969.0,23143275.0,23449808.0,23725843.0,23963203.0,24201544.0,24515667.0,24819915.0,25116942.0,25366451.0,25607053.0,25842116.0,26100278.0,26446601.0,26791747.0,27276781.0,27691138.0,28037420.0,28371264.0,28684764.0,29000663.0,29302311.0,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020855.0,31359199.0,31642461.0,31938807.0,32242732.0,32571193.0,32888886.0,33247298.0,33630069.0,34005902.0,34339221.0,34713395.0,35080992.0,35434066.0,35704498.0,36110803.0,36545075.0,37072620.0,37618495.0,38028638.0,38239864.0,38939056.0,40097761.0,
